,name,profile_link,bio,D.O.B,image,Other_Works,Nick_Name,star_sign,trivia,trademark,quote,height,ALternate Names
10," Atul Kulkarni
",https://www.imdb.com/name/nm0474609,"
    Atul Kulkarni was born on September 10, 1965 in Karnataka, India. He is an actor, known for Rang De Basanti (2006), Hey Ram (2000) and Page 3 (2005).            
See full bio »
            
","
September 10, 
     
1965","https://m.media-amazon.com/images/M/MV5BY2E1ODI1MGUtYWY1ZS00ZDdlLTg0ZDctNWU1NmJhM2UxYzU5XkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_UY317_CR0,0,214,317_AL__QL50.jpg",,,"

Virgo
",,,,,
11," Asrani
",https://www.imdb.com/name/nm2147526,"
    Asrani was born in a middle class Sindhi family. His father migrated to Jaipur after the Partition of India and opened a shop selling carpets. He has four sisters and three brothers: two elder and one younger. Asrani was highly uninterested in business and very weak in mathematics. He completed his matriculation from St. Xaviers School and did his...            
See full bio »
            
","
January 1, 
     
1941","https://m.media-amazon.com/images/M/MV5BMjEyNDQ4MzUzNF5BMl5BanBnXkFtZTgwNjY3OTczOTE@._V1_UX214_CR0,0,214,317_AL__QL50.jpg",,,"

Capricorn
","

    Claimed Raj Kapoor had a grudge against Asrani because Rishi Kapoor did not get admission at the film institute. Asrani was a instructor and felt Rishi was non matriculate. Years later Raj Kapoor offered Asrani a role in a production but Asrani quoted a high price.                    
See more

                    »
        ",,,,"

            Asarani | G. Asrani
        "
12," Ayushmann Khurrana
",https://www.imdb.com/name/nm4731677,"
    Ayushmann Khurrana was born on 14 September 1984 in Chandigarh, India. Ayushmann started off his career as a popular radio jockey, and eventually became a VJ on MTV India and one of the most popular hosts in India. He shot to stardom with the runaway hit, 'Vicky Donor' in 2012. His effortless act in his debut won him rave reviews and the film went...            
See full bio »
            
","
September 14, 
     
1984","https://m.media-amazon.com/images/M/MV5BOTk4MDY4ODAwNl5BMl5BanBnXkFtZTcwNzQ0MjY2Nw@@._V1_UY317_CR131,0,214,317_AL__QL50.jpg",,"

            Ayush
        ","

Virgo
","

    Ayushmann had participated in the second season of MTV Roadies (2003) in the year 2004 and emerged as the winner of the show.                    
See more

                    »
        ","

    Cute Smile                    
See more

                    »
        ","

    If you have a mainstream actor attached to a subject like this (Article 15 (2019)), it reaches out to a wider audience. We want to reach out to people who believe in caste discrimination and if we are able to change the mindset of one person that will be the true victory for us.                    
See more

                    »
        ","

5' 6¼"" (1.68 m)        ",
13," Aruna Irani
",https://www.imdb.com/name/nm0045119,"
    Aruna Irani made her debut in the movie Gunga Jumna (1961) at nine years old playing Azra's character. After doing several small roles in films like Jahanara (1964), Farz (1967), Upkar (1967) and Aaya Sawan Jhoomke (1969). She was paired with comedian Mehmood Ali in films like Aulad (1968), Jawab, Humjoli (1970), Manmandir and Naya Zamana (1971)....            
See full bio »
            
","
August 18, 
     
1946","https://m.media-amazon.com/images/M/MV5BYWIzYjZkZTAtNDM0MS00YjBiLWJlMjItZDY1YTJhNjMxNTExXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UX214_CR0,0,214,317_AL__QL50.jpg",,,"

Leo
","

    In 1989, Darmesh Darshan directed a video film titled ""Aag Se Mat Khelo"" . Starring Aruna Irani,Sunil Puri,Anuradha Patel. It did not release for unknown reasons.                    
See more

                    »
        ",,,,"

            Baby Aruna | Aruna | Aroona Iarani | Aroona Irani
        "
14," Annu Kapoor
",https://www.imdb.com/name/nm0438465,"
    Annu Kapoor made his debut in the film Mandi directed by Shyam Benegal in 1983.His career has spanned nearly 30 years including a distinctive presence in Bollywood cinema, television serials, and reality game shows. He is best remembered for hosting the singing show Antakshari, produced by ZEE TV. His performance as an obsessive-compulsive Sperm ...            
See full bio »
            
","
February 20, 
     
1956","https://m.media-amazon.com/images/M/MV5BMjE4MjAxODk1NV5BMl5BanBnXkFtZTcwODQ0MjY2Nw@@._V1_UY317_CR131,0,214,317_AL__QL50.jpg",,,"

Pisces
","

    Was credited as Anil Kapoor in his first film. He later changed it to Annu Kapoor to avoid confusion with Anil Kapoor'.                    
See more

                    »
        ",,,,"

            Anu Kapoor
        "
15," Ashish Vidyarthi
",https://www.imdb.com/name/nm0896573,"
    Ashish Vidyarthi was born on June 19, 1962 in Tellicherry, Kerala, India. He is an actor, known for 24 (2013), Haider (2014) and Pokiri (2006).            
See full bio »
            
","
June 19, 
     
1962","https://m.media-amazon.com/images/M/MV5BMzk5Mzc5Y2YtYjJjYy00OGIyLTg4MzctZTMxNDBiYzY2MTcxXkEyXkFqcGdeQXVyNjc0MTQwOTc@._V1_UY317_CR175,0,214,317_AL__QL50.jpg",,,"

Gemini
","

    Son named Arth Vidyarthi.                    
See more

                    »
        ",,,,"

            Ashish Bidyarthi | Ashish Vidhayarthi | Aashish Vidhyarthi | Ashish Vidhyarthi | Ashish Yidyarthi
        "
16," Adil Hussain
",https://www.imdb.com/name/nm1300009,"
    Adil Hussain is known for his critically acclaimed performances in award winning films such as Ang Lee's Oscar winning Life of Pi, Subhashish Bhutiani's Hotel Salvation/Mukti Bhavan, Iram Haq's What Will People Say, Danis Tanovic's Tigers, Mira Nair's The Reluctant Fundamentalist, Pan Nalin's Angry Indian Goddesses, Partho Sen-Gupta's Sunrise, ...            
See full bio »
            
",,"https://m.media-amazon.com/images/M/MV5BN2Q2YzA4MDMtMzVkYy00ZTMwLTgzN2EtZTc4NTRiODhkNzM3XkEyXkFqcGdeQXVyMjA4ODEzMzE@._V1_UY317_CR25,0,214,317_AL__QL50.jpg",,,,,,,"

6' 1"" (1.85 m)        ","

            Adil
        "
17," Anupam Kher
",https://www.imdb.com/name/nm0451600,"
    Anupam Kher was born on March 7, 1955 in Shimla, Himachal Pradesh, India. He is an actor and producer, known for Silver Linings Playbook (2012), A Wednesday (2008) and M.S. Dhoni: The Untold Stor (2016).            
See full bio »
            
","
March 7, 
     
1955","https://m.media-amazon.com/images/M/MV5BMjMyMjc1OTgzNF5BMl5BanBnXkFtZTgwMDY1NDMzOTE@._V1_UY317_CR4,0,214,317_AL__QL50.jpg",,,"

Pisces
","

    Has one son, Sikander Kher, who is also an actor.                    
See more

                    »
        ",,"

    [on the establishment of a new London training program, ""Actor Prepares""] I am trying to kill off a certain style of clichéd Bollywood acting. It's already dying, so it is the right time to do this international school.        ","

5' 6"" (1.68 m)        ","

            Anupum Kher
        "
18," Anil Kapoor
",https://www.imdb.com/name/nm0438463,"
    Living in a Chawl in Tilak Nagar, Punjabi-speaking Anil was born in 1959 to Surinder and Nirmal aka Suchitra Kapoor. He has an elder brother, Boney, a sister, Reena, and a younger brother, Sanjay. His dad used to be Shammi Kapoor's Secretary. A loner, without many friends, he studied in the nearby O.L.P.S. (Our Lady of Perpetual Succor) School, and...            
See full bio »
            
","
December 24, 
     
1956","https://m.media-amazon.com/images/M/MV5BMjUyMWE5MjUtMDlkMC00ODc0LThkOTgtNjZhNDgyMTU5ZDhlXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UX214_CR0,0,214,317_AL__QL50.jpg",,"

            Lakkhan
        ","

Capricorn
","

    In 1990, Vimal Kumar signed Anil Kapoor for a film titled Apne Dam Par. Anil did not like the script and he backed out. It was later made as Dulaara with Govinda.                    
See more

                    »
        ",,"

    Instead of focusing on my looks I focus on the character that I am playing.        ","

5' 7"" (1.7 m)        ","

            The Anil Kapoor | Cameo | Mr. Anil Kapoor | Shri Anil Kapur
        "
19," Amrish Puri
",https://www.imdb.com/name/nm0700869,"
    Believe it or not, Amrish Puri wanted to become a Bollywood movie hero but failed a screen test in 1954. And what a failure it was! Mr. Puri went on to become one of the most renowned and credible villains in the history of Indian cinema. His most memorable and often quoted role is the character of 'Mogambo' (with the catchphrase ""Mogambo Khush ...            
See full bio »
            
","
June 22, 
     
1932","https://m.media-amazon.com/images/M/MV5BYWRlMTk2NWYtYjhjNy00NmRjLTg4NWMtMmM2YjJlN2YwNWE4XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY317_CR11,0,214,317_AL__QL50.jpg",,,"

Cancer
","

    First cousin of singer K.l. Saigal.                    
See more

                    »
        ",,,"

5' 10"" (1.78 m)        ",
20," Amole Gupte
",https://www.imdb.com/name/nm1244760,"
    Amole Gupte is an Indian screenwriter, actor, and director, known for his work on Bollywood films like Taare Zameen Par (Like Stars on Earth), Stanley ka dabba, Kaminey and others. He is also an actor in Bheja Fry 2 (2011), stanley Ka Dabba (2011),Urumi (2011) Phas gaye re obama (2010) and Kaminey.            
See full bio »
            
",,"https://m.media-amazon.com/images/M/MV5BZmNhMWQyOGYtYmZkMy00ZjdjLWE4N2QtYjc0NzEyZjViZWQzXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY317_CR17,0,214,317_AL__QL50.jpg",,,,,"

    Directs movies with children as main protagonists        ",,,
21," Boman Irani
",https://www.imdb.com/name/nm1224082,"
    Boman Irani was born on December 2, 1959 in Bombay, State of Bombay, India. He is an actor, known for 3 Idiots (2009), Munna Bhai M.B.B.S. (2003) and Don 2 (2011). He has been married to Zenobia since January 28, 1985. They have two children.            
See full bio »
            
","
December 2, 
     
1959","https://m.media-amazon.com/images/M/MV5BNTc4ZjFlMjUtODU3MS00M2JhLTlkMzEtMmIyODFiMjAwZmJhXkEyXkFqcGdeQXVyNTE0MDc0NTM@._V1_UY317_CR93,0,214,317_AL__QL50.jpg",,,"

Sagittarius
","

    Starred in the film Rishton Ki Machine (2008) Starring Boman Irani,Sonali Kulkarni,Kiran Kumar DirectorJatin Ravasia, Producer Shailendra Singh.                    
See more

                    »
        ",,,"

5' 10½"" (1.79 m)        ",
22," Balraj Sahni
",https://www.imdb.com/name/nm0756379,"
    Balraj Sahni was born on May 1, 1913 in Rawalpindi, Punjab, British India. He was an actor, known for Baazi (1951), Kabuliwala (1961) and Bhabhi (1957). He was married to Santosh Chandhok and Damayanti Sahni. He died on April 13, 1973 in Bombay, Maharashtra, India.            
See full bio »
            
","
May 1, 
     
1913","https://m.media-amazon.com/images/M/MV5BZDgwMGMzMWUtMmQ1Yi00NjM0LTlkMDgtMTk5MmFkMWJhNDY1XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY317_CR15,0,214,317_AL__QL50.jpg",,,"

Taurus
","

    Father of actor Parikshit Sahni.                    
See more

                    »
        ",,,,"

            Balraj | Balraj Sahani | Shri Balraj Sahni
        "
23," Binnu Dhillon
",https://www.imdb.com/name/nm3839111,"
    Binnu Dhillon is an actor and producer, known for Dev.D (2009), Vadhayiyaan Ji Vadhayiyaan (2018) and Chhevan Dariya (The Sixth River) (2010).            
See full bio »
            
",,"https://m.media-amazon.com/images/M/MV5BOGRmNWY0ZjctZDU3Yi00ZmU3LWI3OGYtY2QyMjJmZjQzODllXkEyXkFqcGdeQXVyOTA0OTMzMTE@._CR78,61,976,731._SY230_SX307_AL_.jpg",,,,,,,"

5' 6"" (1.68 m)        ",
24," Bharat Bhushan
",https://www.imdb.com/name/nm0080445,"
    Bharat Bhushan was born on June 14, 1920 in Meerut, United Provinces of Agra and Oudh, British India. He was an actor, known for Gateway of India (1957), Mirza Ghalib (1954) and Shri Chaitanya Mahaprabhu (1954). He died on January 27, 1992 in Bombay, Maharashtra, India.            
See full bio »
            
","
June 14, 
     
1920","https://m.media-amazon.com/images/M/MV5BODIwNGY2OGItN2I4Ny00Y2ExLWEzZmQtMTI0M2IxMWQxYTU5XkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UY317_CR3,0,214,317_AL__QL50.jpg",,,"

Gemini
","

    Niece is actress Parijat (Kaun Kare Kurbani). She is Bharat's brother's daughter. She suffered from polio.                    
See more

                    »
        ",,,,"

            Bharat Bhooshan | Late Bharat Bhushan
        "
25," Chiranjeevi
",https://www.imdb.com/name/nm0158112,"
    This Telugu Star was a student at the Madras Film Institute and an amateur stage actor. His first public performance was in the Republic Day parade ballet of Andra Pradesh on 26 January, 1976. His film debut was Punadhirallu (1978). His brother-in-law is producer Allu Aravind. His success started with Initilo Ramayya Vidhilo Krishnayya (1981). He ...            
See full bio »
            
","
August 22, 
     
1955","https://m.media-amazon.com/images/M/MV5BOGQ4MTc3MWYtNmUxNi00Nzk3LWFjMDItM2Y1NmVmMDEyNWIxXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY317_CR3,0,214,317_AL__QL50.jpg",,"

            Angry young man
                
See more

                »
        ","

Leo
","

    Chiranjeevi, being a regional language actor surpassed Amitabh Bachchan in 1992 in terms of remuneration by charging Rs 1.25 Crores for a movie.                    
See more

                    »
        ",,"

    ""Admiration is not adorning the cutouts with blood or indulging in fights with other fans. But being of help to the needy, living life again by donating eyes after death is what I call genuine admiration of a fan"".                    
See more

                    »
        ","

5' 9"" (1.75 m)        ","

            Mega Star Chiranjeevi | Supreme Hero Chiranjeevi | Chiru | Megastar
        "
26," Chunky Pandey
",https://www.imdb.com/name/nm0659233,"
    Chunky Pandey was born in Bombay, India on September 26, 1962 in a non-film household. Chunky's real name is Suyash Sharad Pandey, but is also known as Chandrakant Pandey. He shot into fame with a secondary role in 'Tezaab' which had Anil Kapoor and Madhuri Dixit in the lead roles. He continued to meet considerable success in secondary and ...            
See full bio »
            
","
September 26, 
     
1962","https://m.media-amazon.com/images/M/MV5BMTk5NjI3MTEwNF5BMl5BanBnXkFtZTgwMzU2MTMzOTE@._V1_UX214_CR0,0,214,317_AL__QL50.jpg",,,"

Libra
","

    Starred in the shelved film ""Khoon Jawab Dega""(1989). Starring Govinda (Replaced Chunky Pandey), Neelam, Sumeet Saigal, Vinod Mehra, Aruna Irani (Replaced Hema Malini and Shabana Azmi),Amita Nangia,Gulshan Grover,Kiran Kumar. Directed by Sisir Mishra. The producer complained that after shooting for 10 days,Neelam stop giving any dates . That was because she signed Agneepath and some other big ...                    
See more

                    »
        ",,,"

5' 11"" (1.8 m)        ","

            Chunkey Panday | Chunky Panday | Chunkey Pandey | Chunky Pundey
        "
27," Danny Denzongpa
",https://www.imdb.com/name/nm0219939,"
    Danny, who married Gawa Denzongpa, a Sikkimese princess and niece of the last chogyal from her hometown of Gangtok, currently resides in Juhu in Mumbai. He likes to listen to Nepali folk music especially Nepali flutes. In recent times he has become more selective as to the roles he plays. He does not work in March, April, and May as they are hot. ...            
See full bio »
            
","
February 25, 
     
1948","https://m.media-amazon.com/images/M/MV5BMzI4Njg3OTcyNF5BMl5BanBnXkFtZTcwNzQzMTYxOA@@._V1_UY317_CR16,0,214,317_AL__QL50.jpg",,,"

Pisces
","

    He gave his long-time girl friend Kim the shove to marry Gaw, a princess from the Himalayas.                    
See more

                    »
        ",,,,"

            Danny | Danny Danzogppa | Danny Danzongappa | Danny Danzongpa | Danny Dengzongpa | Danny Denzogpa | Danny Denzongappa
        "
28," Darsheel Safary
",https://www.imdb.com/name/nm2594301,"
    Born in the same city and on the same month as his family friend Aamir Khan, Darsheel Safary (born March 9, 1997 in Mumbai, India) is an Indian child movie actor primarily working on starring in Hindi Bollywood films. He is best known for his acclaimed portrayal of a dyslexic child in the 2007 film Taare Zameen Par (Like Stars on Earth), a drama ...            
See full bio »
            
","
March 9, 
     
1996","https://m.media-amazon.com/images/M/MV5BMjYyYzViMmYtMjU4Yi00NGM3LWFjZTEtZmFkOGFmOTllY2I2XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY317_CR5,0,214,317_AL__QL50.jpg",,"

            Darsh
        ","

Pisces
",,,,"

5' 10"" (1.78 m)        ","

            Darsheel Safari
        "
29," Deepak Tijori
",https://www.imdb.com/name/nm0863120,"
    Deepak Tijori was born on August 28, 1961 in Bombay, Maharashtra, India. He is an actor and director, known for Fox (2009), Do Lafzon Ki Kahani (2016) and Tipsy (2020).            
See full bio »
            
","
August 28, 
     
1961","https://m.media-amazon.com/images/M/MV5BNmIwYzhiNjUtYmY3NS00YjdhLTlkM2UtZDJhZDJiNDkzNDI5XkEyXkFqcGdeQXVyNDY2Nzg2NQ@@._V1_UY317_CR51,0,214,317_AL__QL50.jpg",,,"

Virgo
","

    Mahesh Bhatt had planned a film titled Adhure Log with Deepak Tijori in 1991. The film got shelved.                    
See more

                    »
        ",,,,"

            Depak Tijori | Dipak Tijori
        "
30," Dharmendra
",https://www.imdb.com/name/nm0004429,"
    Dharmendra is one of the biggest stars of Indian cinema. Dharmendra Deol played the romantic hero in woman centric films from 1960-1968 and became romantic hero from 1968-69 and played the role of action hero from 1971-1997. Dharmendra has appeared in 306 films. He is known as 'Garam' Dharam in Bollywood. Had the looks of a real gentle man, ...            
See full bio »
            
","
December 8, 
     
1935","https://m.media-amazon.com/images/M/MV5BMTk0ODU5NjAzMl5BMl5BanBnXkFtZTcwNDYyOTM5NA@@._V1_UY317_CR131,0,214,317_AL__QL50.jpg","

    Commercial for Diwali Safety Campaign - Leicestershire Fire Department, UK.        ","

            Dharminder
        ","

Sagittarius
","

    Dharmendra launched his production house Vijayta Films in 1983 with the film Betaab that was the debut of his son Sunny Deol. The film went on to become a huge hit. Later he produced Ghayal in 1990, also starring his son Sunny Deol in lead. The film became one of the biggest hits of the year and won 7 Filmfare Awards including Best Film award. Dharmendra received National Award for Best Film ...                    
See more

                    »
        ",,"

Amitabh Bachchan is in a bracket where he can't be touched. He's the star of the century. Rajesh Khanna will remain king of super stardom for centuries to come.                    
See more

                    »
        ","

5' 10"" (1.78 m)        ","

            Dharmendra Deol | Dharmender | Mr. Dharmendra | Dharmindera | Dharminder | Dilawar Kewal Krishn Khan
        "
31," Deepika Padukone
",https://www.imdb.com/name/nm2138653,"
    Deepika Padukone, born 5 January 1986 in Copenhagen, Denmark, is an Indian model & Actress. She is the daughter of former badminton Champion Prakash Padukone. Her mother tongue is Konkani. Deepika has a younger sister named Anisha. She has been modeling appearances in print and television advertising campaigns for Liril, Close-Up toothpaste and ...            
See full bio »
            
","
January 5, 
     
1986","https://m.media-amazon.com/images/M/MV5BNGFlYzAyYjgtNzRjNS00NmE4LTliOGYtYzBkYzU5MzRhMDM0XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UX214_CR0,0,214,317_AL__QL50.jpg",,,"

Capricorn
","

    Indian supermodel.                    
See more

                    »
        ",,"

    For me, competition is good; that is what keeps me on my toes and keeps me going. I am always trying to better my own work, do better than my earlier films... do films that are challenging and exciting for me.                    
See more

                    »
        ","

5' 7½"" (1.71 m)        ",
